,Labels,Item sets,First Fit Times,First Fit Decreasing Times,Next Fit Times,Next Fit Decreasing Times,Best Fit Times,Best Fit Decreasing Times,Djang-Fitch Times,Djang-Fitch 2 Times
10,"[0.25, 0.25, 0.0, 0.5, 0.55, 0.15, 0.3, 1, 5]","[(41, 84), (52, 39), (51, 82), (27, 8), (21, 34), (79, 75), (95, 90), (43, 14), (15, 69), (91, 83), (82, 95), (75, 15), (24, 77), (93, 14), (58, 83), (97, 40), (74, 84), (14, 16), (93, 51), (32, 1)]",6.521999999999999,5.902,7.292999999999999,6.074999999999999,17.046,22.686,24.910999999999998,78.991
11,"[0.25, 0.15, 0.1, 0.5, 0.6, 0.2, 0.2, 1, 5]","[(59, 44), (94, 81), (75, 94), (97, 84), (15, 14), (13, 37), (54, 46), (50, 51), (60, 66), (71, 99), (7, 67), (79, 15), (55, 25), (13, 51), (62, 55), (92, 79), (3, 28), (40, 35), (49, 85), (14, 86)]",7.106999999999999,6.356999999999999,7.364999999999999,7.048,21.229,23.622999999999998,25.698,65.884
12,"[0.1, 0.15, 0.05, 0.7, 0.4, 0.2, 0.4, 1, 5]","[(25, 1), (97, 47), (66, 74), (67, 47), (20, 72), (26, 18), (47, 7), (54, 94), (22, 16), (78, 61), (83, 95), (26, 89), (30, 48), (56, 32), (35, 58), (11, 19), (19, 85), (42, 35), (45, 23), (92, 12)]",5.789,6.834,7.104,6.340999999999999,12.28,14.995,27.212,83.50099999999999
13,"[0.4, 0.15, 0.05, 0.4, 0.6, 0.15, 0.25, 1, 1]","[(89, 85), (85, 81), (82, 48), (17, 35), (94, 66), (81, 9), (80, 69), (26, 44), (79, 85), (29, 86), (52, 61), (90, 7), (91, 83), (53, 14), (12, 1), (41, 94), (50, 98), (81, 8), (81, 91), (88, 60)]",6.688,6.653,7.465999999999999,7.552,17.002,23.034,26.265,78.56
14,"[0.25, 0.15, 0.2, 0.4, 0.6, 0.15, 0.25, 1, 5]","[(34, 81), (83, 74), (90, 65), (1, 9), (72, 35), (83, 19), (86, 76), (65, 71), (51, 55), (78, 79), (65, 70), (7, 36), (86, 15), (17, 8), (40, 64), (73, 86), (97, 47), (30, 57), (79, 10), (23, 76)]",7.915,6.295,7.528,5.768,16.618,23.459,27.973,129.183
15,"[0.2, 0.05, 0.1, 0.65, 0.6, 0.05, 0.35, 1, 7]","[(35, 23), (21, 52), (47, 43), (70, 10), (98, 33), (69, 23), (15, 89), (35, 55), (81, 84), (57, 2), (44, 88), (24, 14), (97, 94), (5, 94), (46, 53), (22, 93), (66, 27), (78, 69), (93, 96), (39, 72)]",6.795999999999999,6.4239999999999995,6.308,6.428,10.623,14.719,24.843999999999998,49.275999999999996
16,"[0.2, 0.05, 0.05, 0.7, 0.4, 0.1, 0.5, 1, 5]","[(14, 75), (88, 89), (85, 17), (87, 66), (54, 5), (10, 16), (82, 80), (30, 33), (57, 19), (8, 19), (62, 95), (80, 28), (35, 69), (69, 43), (26, 2), (22, 53), (98, 3), (52, 76), (44, 46), (40, 5)]",7.651,5.838,6.571,6.277,13.811,16.706,25.944,84.615
17,"[0.1, 0.2, 0.0, 0.7, 0.45, 0.15, 0.4, 1, 5]","[(37, 99), (46, 16), (84, 26), (76, 70), (16, 60), (18, 2), (70, 5), (61, 61), (42, 46), (68, 4), (4, 39), (9, 56), (57, 43), (58, 74), (49, 10), (65, 91), (37, 11), (1, 73), (75, 64), (83, 22)]",6.9639999999999995,5.757,6.819999999999999,5.777,12.241,20.964,32.183,117.97399999999999
18,"[0.3, 0.15, 0.2, 0.35, 0.75, 0.15, 0.1, 1, 5]","[(57, 62), (97, 94), (13, 64), (48, 62), (56, 3), (22, 66), (28, 90), (73, 72), (67, 58), (32, 40), (15, 74), (88, 9), (69, 86), (23, 36), (80, 89), (74, 64), (74, 96), (76, 78), (48, 69), (69, 37)]",7.346,6.385,7.412999999999999,6.999,10.498,17.653,26.636,65.53699999999999
19,"[0.15, 0.25, 0.1, 0.5, 0.55, 0.25, 0.2, 1, 5]","[(91, 91), (84, 60), (92, 44), (78, 43), (44, 92), (38, 78), (31, 71), (99, 84), (72, 62), (31, 64), (41, 28), (74, 32), (44, 54), (92, 42), (61, 6), (67, 36), (37, 43), (36, 87), (20, 59), (67, 3)]",6.859999999999999,6.949999999999999,6.066999999999999,6.576,12.388,11.769,27.086,78.937
20,"[0.2, 0.05, 0.0, 0.75, 0.65, 0.05, 0.3, 1, 5]","[(28, 64), (4, 88), (13, 30), (24, 22), (26, 41), (92, 65), (8, 80), (41, 6), (66, 92), (35, 61), (69, 33), (46, 27), (25, 55), (89, 70), (93, 77), (45, 9), (10, 81), (89, 55), (8, 52), (1, 98)]",6.9479999999999995,6.191999999999999,7.02,5.971,12.272,16.858,28.519,76.643
21,"[0.2, 0.1, 0.25, 0.45, 0.5, 0.25, 0.25, 1, 7]","[(63, 85), (95, 95), (9, 21), (94, 26), (70, 46), (60, 67), (12, 19), (91, 39), (71, 99), (47, 51), (24, 78), (22, 42), (89, 30), (98, 30), (75, 39), (20, 78), (84, 35), (37, 62), (34, 67), (70, 98)]",7.4799999999999995,6.234999999999999,7.75,6.3549999999999995,10.748999999999999,10.232999999999999,23.95,56.73
22,"[0.1, 0.1, 0.05, 0.75, 0.35, 0.25, 0.4, 1, 5]","[(46, 22), (65, 33), (33, 36), (32, 64), (66, 52), (83, 11), (37, 61), (94, 35), (15, 47), (2, 33), (6, 59), (77, 17), (27, 59), (55, 91), (20, 5), (98, 79), (85, 42), (6, 37), (48, 9), (91, 27)]",7.4479999999999995,5.866,6.946,7.013999999999999,13.215,12.805,23.627,54.144999999999996
23,"[0.0, 0.1, 0.15, 0.75, 0.35, 0.2, 0.45, 1, 1]","[(64, 35), (12, 16), (33, 20), (48, 27), (5, 76), (73, 42), (30, 65), (14, 44), (74, 47), (39, 85), (42, 69), (54, 20), (2, 66), (68, 22), (62, 71), (19, 60), (46, 12), (8, 11), (7, 13), (68, 4)]",6.552,6.4159999999999995,7.515,5.569999999999999,17.445,15.700999999999999,24.299999999999997,48.193999999999996
24,"[0.1, 0.2, 0.15, 0.55, 0.6, 0.15, 0.25, 1, 5]","[(41, 41), (33, 71), (13, 27), (51, 4), (38, 29), (57, 94), (75, 66), (78, 78), (57, 60), (74, 38), (82, 18), (41, 62), (46, 55), (57, 71), (63, 34), (80, 56), (5, 87), (33, 9), (11, 58), (13, 69)]",6.0249999999999995,5.6819999999999995,6.444999999999999,5.359,14.741999999999999,19.538,28.224999999999998,101.573
25,"[0.1, 0.1, 0.1, 0.7, 0.45, 0.2, 0.35, 1, 5]","[(1, 91), (23, 41), (99, 60), (54, 16), (23, 30), (37, 78), (78, 79), (60, 69), (1, 15), (50, 10), (16, 43), (21, 76), (20, 54), (68, 42), (16, 76), (26, 45), (55, 72), (85, 3), (13, 28), (36, 22)]",7.534,6.064,7.218999999999999,6.734999999999999,19.462,16.05,28.372999999999998,96.79299999999999
26,"[0.1, 0.25, 0.05, 0.6, 0.7, 0.2, 0.1, 1, 5]","[(36, 94), (92, 30), (18, 90), (71, 52), (86, 90), (17, 84), (7, 48), (7, 96), (26, 55), (71, 49), (51, 49), (19, 94), (10, 39), (92, 68), (55, 63), (29, 76), (21, 81), (78, 55), (34, 24), (34, 55)]",6.4719999999999995,6.074,5.428999999999999,5.840999999999999,9.665,9.574,28.657999999999998,77.61699999999999
27,"[0.1, 0.15, 0.2, 0.55, 0.45, 0.0, 0.55, 1, 1]","[(44, 13), (20, 27), (1, 30), (30, 93), (45, 94), (54, 32), (1, 59), (94, 98), (31, 20), (75, 1), (40, 70), (46, 74), (86, 12), (39, 98), (64, 22), (18, 32), (79, 30), (90, 33), (66, 90), (36, 79)]",7.08,6.688,6.2219999999999995,6.832,9.463,15.100999999999999,23.458,67.838
28,"[0.25, 0.05, 0.2, 0.5, 0.6, 0.0, 0.4, 1, 1]","[(35, 52), (83, 69), (77, 17), (18, 87), (33, 85), (8, 4), (81, 88), (96, 5), (62, 53), (2, 78), (94, 32), (22, 15), (81, 76), (47, 66), (35, 33), (95, 82), (52, 95), (84, 28), (69, 83), (91, 22)]",6.859,5.676,7.02,5.915,10.424,14.616,22.505,97.073
29,"[0.1, 0.05, 0.15, 0.7, 0.5, 0.2, 0.3, 1, 7]","[(1, 43), (62, 49), (3, 3), (27, 86), (13, 63), (57, 98), (24, 95), (60, 12), (52, 98), (39, 84), (5, 79), (65, 13), (38, 42), (93, 37), (23, 81), (7, 76), (42, 9), (93, 14), (3, 19), (51, 62)]",6.098999999999999,5.608,6.935,6.295999999999999,12.19,19.663,22.465,39.192
30,"[0.15, 0.1, 0.1, 0.65, 0.55, 0.2, 0.25, 1, 5]","[(33, 61), (43, 64), (2, 72), (24, 25), (10, 90), (78, 48), (20, 43), (51, 40), (28, 75), (23, 16), (73, 40), (76, 86), (63, 64), (74, 11), (75, 71), (18, 11), (25, 77), (88, 59), (39, 59), (28, 25)]",6.939,5.853,6.840999999999999,5.704,11.950999999999999,20.131999999999998,29.778,94.14
31,"[0.05, 0.25, 0.1, 0.6, 0.55, 0.15, 0.3, 1, 5]","[(49, 82), (68, 43), (70, 65), (7, 98), (27, 36), (55, 19), (84, 30), (71, 60), (30, 55), (7, 57), (70, 67), (30, 18), (12, 8), (1, 76), (29, 6), (11, 4), (21, 47), (48, 89), (59, 90), (2, 97)]",5.747,5.8149999999999995,6.72,5.233,19.439,20.892,31.290999999999997,152.546
32,"[0.2, 0.2, 0.2, 0.4, 0.65, 0.2, 0.15, 1, 5]","[(65, 40), (57, 54), (38, 60), (41, 96), (24, 46), (29, 29), (54, 42), (63, 70), (32, 16), (61, 79), (60, 87), (93, 92), (55, 97), (5, 83), (8, 36), (71, 56), (86, 86), (41, 68), (16, 67), (91, 32)]",7.319,7.197,6.518,6.436999999999999,13.116,16.294,30.195,82.336
33,"[0.05, 0.15, 0.1, 0.7, 0.6, 0.2, 0.2, 1, 5]","[(83, 6), (92, 16), (21, 53), (67, 70), (30, 86), (75, 80), (5, 57), (77, 36), (42, 88), (94, 25), (57, 85), (12, 53), (51, 38), (43, 52), (24, 44), (13, 38), (2, 59), (3, 54), (34, 26), (12, 90)]",6.7589999999999995,5.840999999999999,7.353,6.550999999999999,12.767,9.049,26.622999999999998,54.884
34,"[0.2, 0.15, 0.0, 0.65, 0.5, 0.15, 0.35, 1, 1]","[(1, 20), (1, 91), (65, 18), (11, 85), (64, 73), (36, 63), (12, 37), (88, 91), (73, 12), (13, 25), (86, 48), (76, 50), (99, 79), (68, 87), (39, 52), (92, 96), (92, 10), (17, 7), (76, 25), (12, 90)]",6.915,6.691,7.221,5.888999999999999,12.527,14.831999999999999,23.942999999999998,66.68599999999999
35,"[0.15, 0.2, 0.1, 0.55, 0.5, 0.2, 0.3, 1, 1]","[(11, 67), (90, 11), (58, 38), (46, 17), (93, 50), (45, 3), (25, 75), (3, 66), (33, 76), (81, 57), (40, 27), (52, 34), (1, 10), (93, 82), (97, 93), (87, 52), (5, 1), (58, 90), (36, 94), (81, 34)]",8.673,6.452999999999999,7.901,7.052,20.598,20.352999999999998,24.323999999999998,109.47399999999999
36,"[0.1, 0.15, 0.1, 0.65, 0.3, 0.15, 0.55, 1, 1]","[(40, 93), (45, 1), (15, 76), (44, 1), (25, 27), (38, 74), (89, 66), (40, 41), (43, 15), (51, 28), (89, 29), (68, 22), (45, 29), (54, 20), (18, 33), (94, 88), (23, 54), (87, 48), (92, 49), (25, 8)]",7.731999999999999,7.619,7.805,6.161,14.210999999999999,14.145,23.177,54.241
37,"[0.15, 0.15, 0.05, 0.65, 0.55, 0.05, 0.4, 1, 5]","[(70, 85), (63, 70), (22, 31), (28, 70), (11, 31), (70, 13), (7, 25), (56, 21), (2, 54), (16, 85), (66, 70), (32, 71), (80, 83), (58, 94), (86, 26), (70, 7), (47, 91), (28, 98), (7, 19), (20, 45)]",6.265,7.026,6.643,6.38,13.907,15.533999999999999,26.601,149.384
38,"[0.1, 0.15, 0.2, 0.55, 0.5, 0.2, 0.3, 1, 5]","[(49, 14), (32, 14), (39, 84), (25, 69), (17, 11), (85, 90), (93, 40), (4, 52), (48, 55), (48, 83), (63, 67), (83, 40), (71, 33), (35, 10), (8, 25), (22, 44), (10, 55), (73, 72), (41, 50), (38, 70)]",6.984999999999999,6.044,6.68,6.148,17.951999999999998,22.662,29.907999999999998,88.851
39,"[0.05, 0.25, 0.15, 0.55, 0.4, 0.3, 0.3, 1, 1]","[(40, 40), (97, 36), (31, 64), (77, 40), (40, 96), (23, 49), (15, 56), (97, 17), (58, 23), (64, 42), (14, 21), (79, 28), (23, 97), (94, 79), (66, 12), (31, 23), (76, 50), (48, 79), (35, 89), (66, 54)]",6.1499999999999995,6.154,6.207999999999999,6.295999999999999,8.363,10.823,23.651999999999997,70.78099999999999
40,"[0.05, 0.15, 0.1, 0.7, 0.5, 0.2, 0.3, 1, 5]","[(60, 79), (73, 18), (6, 5), (44, 36), (32, 92), (77, 34), (79, 56), (65, 71), (19, 6), (14, 76), (98, 3), (64, 94), (84, 8), (12, 73), (19, 4), (18, 66), (11, 69), (21, 48), (5, 69), (53, 47)]",6.6499999999999995,5.598,6.298,5.891,16.317,14.517,26.083,106.82499999999999
41,"[0.25, 0.25, 0.15, 0.35, 0.55, 0.2, 0.25, 1, 5]","[(83, 34), (35, 97), (95, 73), (71, 42), (66, 98), (34, 76), (82, 43), (26, 4), (51, 92), (62, 16), (77, 86), (7, 78), (34, 22), (97, 50), (83, 93), (18, 67), (60, 6), (50, 72), (34, 13), (59, 85)]",6.601,5.745,7.443,6.133,15.224,19.557,26.153,94.057
42,"[0.15, 0.2, 0.1, 0.55, 0.65, 0.15, 0.2, 1, 5]","[(10, 44), (44, 92), (45, 53), (37, 77), (54, 20), (64, 86), (40, 9), (82, 13), (23, 97), (63, 45), (19, 65), (88, 72), (28, 84), (10, 73), (82, 70), (78, 43), (50, 9), (7, 78), (85, 51), (55, 76)]",6.433,6.188,6.709,5.795999999999999,12.093,13.078,47.928,88.21199999999999
43,"[0.05, 0.2, 0.1, 0.65, 0.5, 0.25, 0.25, 1, 7]","[(64, 40), (28, 77), (65, 95), (28, 2), (59, 42), (46, 89), (45, 53), (42, 84), (95, 27), (28, 84), (46, 96), (83, 42), (28, 2), (1, 23), (31, 75), (89, 5), (15, 51), (55, 38), (39, 40), (19, 58)]",7.335,6.135,8.661,9.001999999999999,18.032999999999998,18.317,27.436999999999998,72.829
44,"[0.1, 0.15, 0.25, 0.5, 0.65, 0.15, 0.2, 1, 5]","[(53, 59), (41, 94), (82, 38), (62, 20), (17, 71), (9, 98), (68, 52), (85, 2), (96, 92), (13, 95), (40, 54), (67, 44), (73, 85), (34, 90), (99, 41), (17, 79), (2, 59), (40, 66), (41, 26), (11, 11)]",7.14,6.47,7.324999999999999,5.681,14.645999999999999,13.913,26.996,74.883
45,"[0.3, 0.35, 0.1, 0.25, 0.7, 0.2, 0.1, 1, 5]","[(53, 12), (53, 84), (70, 93), (57, 63), (57, 42), (59, 86), (67, 5), (77, 77), (54, 84), (51, 96), (76, 72), (79, 81), (42, 49), (73, 82), (28, 36), (81, 53), (56, 57), (41, 63), (92, 51), (78, 47)]",6.585,7.483,8.097999999999999,8.551,15.880999999999998,20.991999999999997,32.122,74.92399999999999
46,"[0.2, 0.05, 0.05, 0.7, 0.55, 0.1, 0.35, 1, 5]","[(90, 88), (76, 78), (80, 17), (25, 77), (50, 8), (77, 9), (93, 81), (57, 22), (79, 27), (62, 14), (73, 93), (27, 46), (72, 50), (7, 63), (51, 55), (33, 75), (39, 51), (11, 77), (6, 62), (25, 24)]",6.673,6.598999999999999,6.697,6.451,15.972999999999999,16.958,24.846999999999998,51.655
47,"[0.2, 0.15, 0.05, 0.6, 0.45, 0.15, 0.4, 1, 5]","[(43, 94), (10, 29), (45, 55), (43, 45), (11, 82), (20, 31), (36, 28), (84, 29), (32, 43), (54, 84), (19, 14), (55, 47), (82, 12), (75, 74), (20, 18), (71, 85), (61, 96), (14, 8), (90, 51), (79, 75)]",7.622999999999999,6.933,7.8549999999999995,5.785,13.822999999999999,14.782,31.201999999999998,151.528
48,"[0.2, 0.1, 0.1, 0.6, 0.5, 0.15, 0.35, 1, 5]","[(77, 74), (13, 81), (14, 99), (69, 38), (39, 11), (67, 37), (53, 71), (50, 37), (86, 79), (80, 22), (78, 69), (59, 9), (60, 9), (21, 31), (93, 95), (65, 18), (5, 4), (59, 67), (48, 51), (35, 86)]",6.619,6.521999999999999,6.936999999999999,6.088,17.933,20.724,28.139,77.1
49,"[0.05, 0.25, 0.05, 0.65, 0.6, 0.1, 0.3, 1, 0]","[(52, 76), (2, 57), (65, 93), (62, 72), (17, 69), (5, 26), (77, 2), (31, 34), (36, 89), (90, 24), (1, 65), (59, 62), (85, 6), (48, 83), (51, 79), (37, 39), (4, 12), (4, 5), (30, 59), (14, 99)]",6.888999999999999,5.769,7.002,5.721,15.668,20.576,23.956,88.62899999999999
50,"[0.25, 0.2, 0.05, 0.5, 0.5, 0.1, 0.4, 1, 5]","[(65, 98), (83, 40), (78, 98), (82, 19), (7, 58), (83, 99), (40, 2), (24, 12), (67, 56), (71, 62), (27, 60), (96, 45), (65, 79), (97, 13), (55, 33), (56, 89), (66, 25), (54, 2), (30, 28), (69, 78)]",6.963,6.848,7.79,6.064,19.227999999999998,21.163,29.851,96.15299999999999
51,"[0.1, 0.15, 0.2, 0.55, 0.4, 0.35, 0.25, 1, 1]","[(31, 79), (4, 80), (88, 40), (91, 94), (94, 42), (16, 26), (47, 93), (20, 39), (40, 78), (21, 80), (89, 19), (99, 22), (2, 34), (58, 49), (2, 39), (79, 32), (69, 82), (45, 39), (75, 23), (41, 73)]",7.112,7.319,7.306,6.41,11.934999999999999,12.264999999999999,23.845,81.323
52,"[0.15, 0.05, 0.15, 0.65, 0.45, 0.2, 0.35, 1, 1]","[(57, 47), (40, 49), (96, 54), (8, 94), (74, 28), (46, 90), (76, 25), (89, 61), (24, 47), (19, 79), (72, 35), (8, 1), (7, 96), (7, 26), (3, 11), (12, 52), (98, 55), (34, 91), (41, 2), (50, 25)]",6.941,6.931,7.05,6.707999999999999,15.476999999999999,18.503,26.18,83.083
53,"[0.3, 0.1, 0.0, 0.6, 0.6, 0.05, 0.35, 1, 5]","[(77, 80), (93, 63), (80, 25), (75, 66), (81, 17), (29, 13), (89, 82), (70, 69), (98, 68), (8, 52), (78, 66), (8, 99), (30, 72), (40, 37), (93, 75), (19, 11), (18, 74), (60, 33), (49, 20), (29, 2)]",6.258,5.976,6.629,5.773,20.237,19.892,24.612,59.666
54,"[0.1, 0.1, 0.1, 0.7, 0.45, 0.05, 0.5, 1, 5]","[(8, 15), (31, 3), (75, 19), (39, 26), (93, 66), (85, 32), (52, 71), (76, 1), (9, 77), (90, 28), (30, 52), (67, 82), (31, 61), (21, 92), (47, 23), (39, 46), (94, 13), (18, 58), (25, 30), (82, 51)]",7.975,6.136,7.25,6.7139999999999995,10.440999999999999,15.197999999999999,26.532999999999998,56.876
55,"[0.15, 0.3, 0.15, 0.4, 0.6, 0.2, 0.2, 1, 5]","[(94, 51), (7, 98), (34, 49), (22, 2), (69, 65), (22, 5), (49, 9), (59, 69), (78, 76), (87, 60), (12, 25), (70, 59), (23, 34), (49, 37), (83, 34), (97, 51), (42, 78), (97, 75), (36, 96), (40, 73)]",7.686,6.449,7.824999999999999,6.293,14.552999999999999,22.799,32.397999999999996,147.905
56,"[0.15, 0.1, 0.05, 0.7, 0.6, 0.25, 0.15, 1, 1]","[(61, 35), (37, 7), (4, 37), (2, 59), (98, 87), (16, 50), (99, 54), (31, 93), (26, 71), (40, 32), (61, 55), (24, 98), (72, 4), (85, 54), (33, 45), (20, 36), (29, 59), (7, 72), (29, 77), (62, 95)]",7.183,6.476,7.247999999999999,6.455,11.690999999999999,17.987,24.47,64.50099999999999
57,"[0.1, 0.1, 0.15, 0.65, 0.35, 0.35, 0.3, 1, 5]","[(80, 27), (63, 13), (91, 93), (60, 62), (96, 34), (49, 34), (19, 68), (99, 27), (55, 39), (21, 7), (94, 84), (3, 48), (39, 82), (48, 47), (25, 72), (8, 43), (55, 29), (54, 34), (64, 16), (54, 87)]",7.492,6.678999999999999,7.212,5.888999999999999,11.815999999999999,13.975,24.27,64.483
58,"[0.2, 0.1, 0.15, 0.55, 0.65, 0.05, 0.3, 1, 1]","[(29, 69), (88, 27), (14, 56), (64, 57), (95, 25), (69, 38), (59, 51), (53, 97), (74, 63), (94, 31), (65, 98), (45, 53), (88, 14), (53, 31), (10, 77), (26, 84), (90, 95), (83, 61), (21, 92), (42, 21)]",5.787999999999999,6.577999999999999,5.611,6.31,7.755,9.613,24.249,65.368
59,"[0.15, 0.1, 0.15, 0.6, 0.3, 0.25, 0.45, 1, 5]","[(93, 35), (1, 25), (7, 11), (11, 35), (59, 43), (38, 51), (16, 11), (92, 85), (90, 3), (80, 27), (82, 70), (86, 21), (74, 45), (12, 11), (97, 11), (34, 1), (79, 63), (83, 49), (19, 80), (63, 98)]",6.925999999999999,5.918,7.1339999999999995,6.2459999999999996,14.645,19.663999999999998,25.488,93.604
60,"[0.15, 0.25, 0.05, 0.55, 0.55, 0.2, 0.25, 1, 5]","[(95, 44), (51, 83), (18, 95), (6, 98), (32, 12), (86, 60), (55, 57), (39, 43), (99, 21), (33, 68), (94, 38), (96, 52), (3, 3), (99, 78), (97, 42), (96, 10), (39, 57), (6, 57), (23, 33), (89, 73)]",6.952,6.686999999999999,6.904,6.052,12.697,11.447,25.791999999999998,66.213
61,"[0.15, 0.25, 0.15, 0.45, 0.55, 0.1, 0.35, 1, 5]","[(43, 24), (85, 93), (47, 61), (75, 58), (18, 66), (42, 77), (68, 3), (82, 72), (99, 47), (29, 8), (70, 31), (20, 2), (67, 57), (99, 8), (94, 84), (77, 60), (17, 74), (99, 18), (65, 71), (67, 38)]",6.136,6.032,6.919,6.161,18.275,22.118,30.166999999999998,115.131
62,"[0.15, 0.15, 0.15, 0.55, 0.55, 0.2, 0.25, 1, 1]","[(48, 63), (92, 44), (23, 28), (56, 93), (51, 63), (22, 37), (57, 52), (24, 64), (82, 83), (69, 12), (80, 28), (92, 51), (82, 61), (43, 87), (31, 29), (22, 78), (26, 45), (3, 75), (47, 34), (47, 12)]",7.404,7.212,7.242,5.785,12.931999999999999,11.456999999999999,24.811,92.378
63,"[0.0, 0.15, 0.2, 0.65, 0.4, 0.25, 0.35, 1, 7]","[(20, 34), (93, 31), (41, 78), (32, 16), (31, 62), (98, 38), (13, 36), (20, 91), (17, 66), (59, 46), (34, 17), (38, 51), (49, 99), (69, 57), (18, 20), (32, 18), (8, 29), (51, 37), (95, 24), (49, 56)]",6.859,6.781,6.901999999999999,6.523,19.146,17.820999999999998,25.044,49.089999999999996
64,"[0.05, 0.3, 0.15, 0.5, 0.55, 0.2, 0.25, 1, 3]","[(25, 86), (51, 58), (94, 42), (53, 34), (15, 69), (82, 4), (4, 56), (86, 49), (98, 50), (47, 67), (67, 68), (56, 52), (56, 9), (5, 32), (66, 75), (24, 92), (78, 62), (31, 4), (69, 7), (96, 85)]",6.544,5.566,6.959,5.644,19.11,21.473,30.386999999999997,125.027
