,Labels,Item sets,First Fit Score,First Fit Decreasing Score,Next Fit Score,Next Fit Decreasing Score,Best Fit Score,Best Fit Decreasing Score,Djang-Fitch Score,Djang-Fitch 2 Score,Best heuristic
21,"[0.2, 0.1, 0.25, 0.45, 0.5, 0.25, 0.25, 1, 7]","[(63, 85), (95, 95), (9, 21), (94, 26), (70, 46), (60, 67), (12, 19), (91, 39), (71, 99), (47, 51), (24, 78), (22, 42), (89, 30), (98, 30), (75, 39), (20, 78), (84, 35), (37, 62), (34, 67), (70, 98)]",0.4512,0.6604,0.4414,0.5379,0.4519,0.6604,0.6604,0.6673,7
22,"[0.1, 0.1, 0.05, 0.75, 0.35, 0.25, 0.4, 1, 5]","[(46, 22), (65, 33), (33, 36), (32, 64), (66, 52), (83, 11), (37, 61), (94, 35), (15, 47), (2, 33), (6, 59), (77, 17), (27, 59), (55, 91), (20, 5), (98, 79), (85, 42), (6, 37), (48, 9), (91, 27)]",0.4533,0.5321,0.4439,0.4753,0.4594,0.6523,0.5321,0.5188,5
23,"[0.0, 0.1, 0.15, 0.75, 0.35, 0.2, 0.45, 1, 1]","[(64, 35), (12, 16), (33, 20), (48, 27), (5, 76), (73, 42), (30, 65), (14, 44), (74, 47), (39, 85), (42, 69), (54, 20), (2, 66), (68, 22), (62, 71), (19, 60), (46, 12), (8, 11), (7, 13), (68, 4)]",0.3694,0.5575,0.3521,0.5387,0.3704,0.5575,0.5575,0.4082,1
24,"[0.1, 0.2, 0.15, 0.55, 0.6, 0.15, 0.25, 1, 5]","[(41, 41), (33, 71), (13, 27), (51, 4), (38, 29), (57, 94), (75, 66), (78, 78), (57, 60), (74, 38), (82, 18), (41, 62), (46, 55), (57, 71), (63, 34), (80, 56), (5, 87), (33, 9), (11, 58), (13, 69)]",0.3776,0.5156,0.3707,0.4878,0.3994,0.5159,0.5156,0.4289,5
25,"[0.1, 0.1, 0.1, 0.7, 0.45, 0.2, 0.35, 1, 5]","[(1, 91), (23, 41), (99, 60), (54, 16), (23, 30), (37, 78), (78, 79), (60, 69), (1, 15), (50, 10), (16, 43), (21, 76), (20, 54), (68, 42), (16, 76), (26, 45), (55, 72), (85, 3), (13, 28), (36, 22)]",0.3866,0.5479,0.3763,0.3745,0.4117,0.5481,0.5479,0.4153,5
26,"[0.1, 0.25, 0.05, 0.6, 0.7, 0.2, 0.1, 1, 5]","[(36, 94), (92, 30), (18, 90), (71, 52), (86, 90), (17, 84), (7, 48), (7, 96), (26, 55), (71, 49), (51, 49), (19, 94), (10, 39), (92, 68), (55, 63), (29, 76), (21, 81), (78, 55), (34, 24), (34, 55)]",0.4565,0.4826,0.4595,0.5586,0.4768,0.571,0.4826,0.483,5
27,"[0.1, 0.15, 0.2, 0.55, 0.45, 0.0, 0.55, 1, 1]","[(44, 13), (20, 27), (1, 30), (30, 93), (45, 94), (54, 32), (1, 59), (94, 98), (31, 20), (75, 1), (40, 70), (46, 74), (86, 12), (39, 98), (64, 22), (18, 32), (79, 30), (90, 33), (66, 90), (36, 79)]",0.4717,0.6309,0.4735,0.4705,0.4734,0.6309,0.6309,0.5175,1
28,"[0.25, 0.05, 0.2, 0.5, 0.6, 0.0, 0.4, 1, 1]","[(35, 52), (83, 69), (77, 17), (18, 87), (33, 85), (8, 4), (81, 88), (96, 5), (62, 53), (2, 78), (94, 32), (22, 15), (81, 76), (47, 66), (35, 33), (95, 82), (52, 95), (84, 28), (69, 83), (91, 22)]",0.3961,0.608,0.3925,0.5945,0.4679,0.608,0.608,0.5334,1
29,"[0.1, 0.05, 0.15, 0.7, 0.5, 0.2, 0.3, 1, 7]","[(1, 43), (62, 49), (3, 3), (27, 86), (13, 63), (57, 98), (24, 95), (60, 12), (52, 98), (39, 84), (5, 79), (65, 13), (38, 42), (93, 37), (23, 81), (7, 76), (42, 9), (93, 14), (3, 19), (51, 62)]",0.5766,0.4647,0.4224,0.5798,0.5777,0.4647,0.4647,0.5961,7
30,"[0.15, 0.1, 0.1, 0.65, 0.55, 0.2, 0.25, 1, 5]","[(33, 61), (43, 64), (2, 72), (24, 25), (10, 90), (78, 48), (20, 43), (51, 40), (28, 75), (23, 16), (73, 40), (76, 86), (63, 64), (74, 11), (75, 71), (18, 11), (25, 77), (88, 59), (39, 59), (28, 25)]",0.3487,0.4691,0.4454,0.4304,0.455,0.4848,0.4691,0.4611,5
31,"[0.05, 0.25, 0.1, 0.6, 0.55, 0.15, 0.3, 1, 5]","[(49, 82), (68, 43), (70, 65), (7, 98), (27, 36), (55, 19), (84, 30), (71, 60), (30, 55), (7, 57), (70, 67), (30, 18), (12, 8), (1, 76), (29, 6), (11, 4), (21, 47), (48, 89), (59, 90), (2, 97)]",0.3343,0.4795,0.3279,0.4597,0.3293,0.4824,0.4795,0.3848,5
32,"[0.2, 0.2, 0.2, 0.4, 0.65, 0.2, 0.15, 1, 5]","[(65, 40), (57, 54), (38, 60), (41, 96), (24, 46), (29, 29), (54, 42), (63, 70), (32, 16), (61, 79), (60, 87), (93, 92), (55, 97), (5, 83), (8, 36), (71, 56), (86, 86), (41, 68), (16, 67), (91, 32)]",0.5198,0.5245,0.4305,0.4315,0.4397,0.5263,0.5245,0.5234,5
33,"[0.05, 0.15, 0.1, 0.7, 0.6, 0.2, 0.2, 1, 5]","[(83, 6), (92, 16), (21, 53), (67, 70), (30, 86), (75, 80), (5, 57), (77, 36), (42, 88), (94, 25), (57, 85), (12, 53), (51, 38), (43, 52), (24, 44), (13, 38), (2, 59), (3, 54), (34, 26), (12, 90)]",0.6071,0.6156,0.4259,0.4382,0.6138,0.6159,0.6156,0.501,5
34,"[0.2, 0.15, 0.0, 0.65, 0.5, 0.15, 0.35, 1, 1]","[(1, 20), (1, 91), (65, 18), (11, 85), (64, 73), (36, 63), (12, 37), (88, 91), (73, 12), (13, 25), (86, 48), (76, 50), (99, 79), (68, 87), (39, 52), (92, 96), (92, 10), (17, 7), (76, 25), (12, 90)]",0.5158,0.6696,0.5216,0.6307,0.5267,0.6679,0.6696,0.6612,1
35,"[0.15, 0.2, 0.1, 0.55, 0.5, 0.2, 0.3, 1, 1]","[(11, 67), (90, 11), (58, 38), (46, 17), (93, 50), (45, 3), (25, 75), (3, 66), (33, 76), (81, 57), (40, 27), (52, 34), (1, 10), (93, 82), (97, 93), (87, 52), (5, 1), (58, 90), (36, 94), (81, 34)]",0.4904,0.6136,0.4151,0.4854,0.4085,0.6136,0.6136,0.5332,1
36,"[0.1, 0.15, 0.1, 0.65, 0.3, 0.15, 0.55, 1, 1]","[(40, 93), (45, 1), (15, 76), (44, 1), (25, 27), (38, 74), (89, 66), (40, 41), (43, 15), (51, 28), (89, 29), (68, 22), (45, 29), (54, 20), (18, 33), (94, 88), (23, 54), (87, 48), (92, 49), (25, 8)]",0.5492,0.5687,0.5382,0.5409,0.4038,0.5687,0.5687,0.5642,1
37,"[0.15, 0.15, 0.05, 0.65, 0.55, 0.05, 0.4, 1, 5]","[(70, 85), (63, 70), (22, 31), (28, 70), (11, 31), (70, 13), (7, 25), (56, 21), (2, 54), (16, 85), (66, 70), (32, 71), (80, 83), (58, 94), (86, 26), (70, 7), (47, 91), (28, 98), (7, 19), (20, 45)]",0.4857,0.6202,0.4886,0.6186,0.4867,0.6205,0.6202,0.4786,5
38,"[0.1, 0.15, 0.2, 0.55, 0.5, 0.2, 0.3, 1, 5]","[(49, 14), (32, 14), (39, 84), (25, 69), (17, 11), (85, 90), (93, 40), (4, 52), (48, 55), (48, 83), (63, 67), (83, 40), (71, 33), (35, 10), (8, 25), (22, 44), (10, 55), (73, 72), (41, 50), (38, 70)]",0.3704,0.4864,0.4541,0.4479,0.4721,0.4913,0.4864,0.4868,5
39,"[0.05, 0.25, 0.15, 0.55, 0.4, 0.3, 0.3, 1, 1]","[(40, 40), (97, 36), (31, 64), (77, 40), (40, 96), (23, 49), (15, 56), (97, 17), (58, 23), (64, 42), (14, 21), (79, 28), (23, 97), (94, 79), (66, 12), (31, 23), (76, 50), (48, 79), (35, 89), (66, 54)]",0.4077,0.5739,0.4014,0.5541,0.4077,0.5739,0.5739,0.4521,1
40,"[0.05, 0.15, 0.1, 0.7, 0.5, 0.2, 0.3, 1, 5]","[(60, 79), (73, 18), (6, 5), (44, 36), (32, 92), (77, 34), (79, 56), (65, 71), (19, 6), (14, 76), (98, 3), (64, 94), (84, 8), (12, 73), (19, 4), (18, 66), (11, 69), (21, 48), (5, 69), (53, 47)]",0.418,0.5864,0.423,0.5612,0.432,0.5922,0.5864,0.45,5
41,"[0.25, 0.25, 0.15, 0.35, 0.55, 0.2, 0.25, 1, 5]","[(83, 34), (35, 97), (95, 73), (71, 42), (66, 98), (34, 76), (82, 43), (26, 4), (51, 92), (62, 16), (77, 86), (7, 78), (34, 22), (97, 50), (83, 93), (18, 67), (60, 6), (50, 72), (34, 13), (59, 85)]",0.4549,0.5681,0.4508,0.5522,0.5679,0.5702,0.5681,0.5639,5
42,"[0.15, 0.2, 0.1, 0.55, 0.65, 0.15, 0.2, 1, 5]","[(10, 44), (44, 92), (45, 53), (37, 77), (54, 20), (64, 86), (40, 9), (82, 13), (23, 97), (63, 45), (19, 65), (88, 72), (28, 84), (10, 73), (82, 70), (78, 43), (50, 9), (7, 78), (85, 51), (55, 76)]",0.4335,0.5799,0.3531,0.5601,0.4368,0.5877,0.5799,0.5736,5
43,"[0.05, 0.2, 0.1, 0.65, 0.5, 0.25, 0.25, 1, 7]","[(64, 40), (28, 77), (65, 95), (28, 2), (59, 42), (46, 89), (45, 53), (42, 84), (95, 27), (28, 84), (46, 96), (83, 42), (28, 2), (1, 23), (31, 75), (89, 5), (15, 51), (55, 38), (39, 40), (19, 58)]",0.4449,0.477,0.4298,0.4577,0.4433,0.477,0.477,0.4826,7
44,"[0.1, 0.15, 0.25, 0.5, 0.65, 0.15, 0.2, 1, 5]","[(53, 59), (41, 94), (82, 38), (62, 20), (17, 71), (9, 98), (68, 52), (85, 2), (96, 92), (13, 95), (40, 54), (67, 44), (73, 85), (34, 90), (99, 41), (17, 79), (2, 59), (40, 66), (41, 26), (11, 11)]",0.4218,0.559,0.422,0.5401,0.4266,0.5592,0.559,0.5539,5
45,"[0.3, 0.35, 0.1, 0.25, 0.7, 0.2, 0.1, 1, 5]","[(53, 12), (53, 84), (70, 93), (57, 63), (57, 42), (59, 86), (67, 5), (77, 77), (54, 84), (51, 96), (76, 72), (79, 81), (42, 49), (73, 82), (28, 36), (81, 53), (56, 57), (41, 63), (92, 51), (78, 47)]",0.3757,0.3824,0.3734,0.3733,0.3816,0.3839,0.3824,0.3816,5
46,"[0.2, 0.05, 0.05, 0.7, 0.55, 0.1, 0.35, 1, 5]","[(90, 88), (76, 78), (80, 17), (25, 77), (50, 8), (77, 9), (93, 81), (57, 22), (79, 27), (62, 14), (73, 93), (27, 46), (72, 50), (7, 63), (51, 55), (33, 75), (39, 51), (11, 77), (6, 62), (25, 24)]",0.4652,0.5746,0.3589,0.5492,0.4774,0.5747,0.5746,0.5708,5
47,"[0.2, 0.15, 0.05, 0.6, 0.45, 0.15, 0.4, 1, 5]","[(43, 94), (10, 29), (45, 55), (43, 45), (11, 82), (20, 31), (36, 28), (84, 29), (32, 43), (54, 84), (19, 14), (55, 47), (82, 12), (75, 74), (20, 18), (71, 85), (61, 96), (14, 8), (90, 51), (79, 75)]",0.4317,0.5716,0.3501,0.5649,0.4332,0.5735,0.5716,0.4487,5
48,"[0.2, 0.1, 0.1, 0.6, 0.5, 0.15, 0.35, 1, 5]","[(77, 74), (13, 81), (14, 99), (69, 38), (39, 11), (67, 37), (53, 71), (50, 37), (86, 79), (80, 22), (78, 69), (59, 9), (60, 9), (21, 31), (93, 95), (65, 18), (5, 4), (59, 67), (48, 51), (35, 86)]",0.4847,0.4992,0.4788,0.4862,0.4943,0.5032,0.4992,0.4933,5
49,"[0.05, 0.25, 0.05, 0.65, 0.6, 0.1, 0.3, 1, 0]","[(52, 76), (2, 57), (65, 93), (62, 72), (17, 69), (5, 26), (77, 2), (31, 34), (36, 89), (90, 24), (1, 65), (59, 62), (85, 6), (48, 83), (51, 79), (37, 39), (4, 12), (4, 5), (30, 59), (14, 99)]",0.6228,0.4826,0.4432,0.4478,0.4853,0.4828,0.4826,0.4964,0
50,"[0.25, 0.2, 0.05, 0.5, 0.5, 0.1, 0.4, 1, 5]","[(65, 98), (83, 40), (78, 98), (82, 19), (7, 58), (83, 99), (40, 2), (24, 12), (67, 56), (71, 62), (27, 60), (96, 45), (65, 79), (97, 13), (55, 33), (56, 89), (66, 25), (54, 2), (30, 28), (69, 78)]",0.4283,0.5099,0.4117,0.5067,0.4276,0.5176,0.5099,0.5073,5
51,"[0.1, 0.15, 0.2, 0.55, 0.4, 0.35, 0.25, 1, 1]","[(31, 79), (4, 80), (88, 40), (91, 94), (94, 42), (16, 26), (47, 93), (20, 39), (40, 78), (21, 80), (89, 19), (99, 22), (2, 34), (58, 49), (2, 39), (79, 32), (69, 82), (45, 39), (75, 23), (41, 73)]",0.4324,0.558,0.4321,0.5357,0.4328,0.558,0.558,0.5497,1
52,"[0.15, 0.05, 0.15, 0.65, 0.45, 0.2, 0.35, 1, 1]","[(57, 47), (40, 49), (96, 54), (8, 94), (74, 28), (46, 90), (76, 25), (89, 61), (24, 47), (19, 79), (72, 35), (8, 1), (7, 96), (7, 26), (3, 11), (12, 52), (98, 55), (34, 91), (41, 2), (50, 25)]",0.4869,0.5228,0.4794,0.474,0.4891,0.5228,0.5228,0.5159,1
53,"[0.3, 0.1, 0.0, 0.6, 0.6, 0.05, 0.35, 1, 5]","[(77, 80), (93, 63), (80, 25), (75, 66), (81, 17), (29, 13), (89, 82), (70, 69), (98, 68), (8, 52), (78, 66), (8, 99), (30, 72), (40, 37), (93, 75), (19, 11), (18, 74), (60, 33), (49, 20), (29, 2)]",0.4989,0.6082,0.4789,0.6095,0.4997,0.6112,0.6082,0.6048,5
54,"[0.1, 0.1, 0.1, 0.7, 0.45, 0.05, 0.5, 1, 5]","[(8, 15), (31, 3), (75, 19), (39, 26), (93, 66), (85, 32), (52, 71), (76, 1), (9, 77), (90, 28), (30, 52), (67, 82), (31, 61), (21, 92), (47, 23), (39, 46), (94, 13), (18, 58), (25, 30), (82, 51)]",0.4595,0.5075,0.4551,0.4851,0.4868,0.5089,0.5075,0.5051,5
55,"[0.15, 0.3, 0.15, 0.4, 0.6, 0.2, 0.2, 1, 5]","[(94, 51), (7, 98), (34, 49), (22, 2), (69, 65), (22, 5), (49, 9), (59, 69), (78, 76), (87, 60), (12, 25), (70, 59), (23, 34), (49, 37), (83, 34), (97, 51), (42, 78), (97, 75), (36, 96), (40, 73)]",0.4502,0.455,0.3673,0.4553,0.4486,0.4587,0.455,0.446,5
56,"[0.15, 0.1, 0.05, 0.7, 0.6, 0.25, 0.15, 1, 1]","[(61, 35), (37, 7), (4, 37), (2, 59), (98, 87), (16, 50), (99, 54), (31, 93), (26, 71), (40, 32), (61, 55), (24, 98), (72, 4), (85, 54), (33, 45), (20, 36), (29, 59), (7, 72), (29, 77), (62, 95)]",0.4629,0.6217,0.3613,0.4623,0.4899,0.5217,0.6217,0.5212,1
57,"[0.1, 0.1, 0.15, 0.65, 0.35, 0.35, 0.3, 1, 5]","[(80, 27), (63, 13), (91, 93), (60, 62), (96, 34), (49, 34), (19, 68), (99, 27), (55, 39), (21, 7), (94, 84), (3, 48), (39, 82), (48, 47), (25, 72), (8, 43), (55, 29), (54, 34), (64, 16), (54, 87)]",0.4507,0.5711,0.4254,0.5435,0.4566,0.5977,0.5711,0.5633,5
58,"[0.2, 0.1, 0.15, 0.55, 0.65, 0.05, 0.3, 1, 1]","[(29, 69), (88, 27), (14, 56), (64, 57), (95, 25), (69, 38), (59, 51), (53, 97), (74, 63), (94, 31), (65, 98), (45, 53), (88, 14), (53, 31), (10, 77), (26, 84), (90, 95), (83, 61), (21, 92), (42, 21)]",0.5841,0.5938,0.4724,0.4794,0.5917,0.5938,0.5938,0.5092,1
59,"[0.15, 0.1, 0.15, 0.6, 0.3, 0.25, 0.45, 1, 5]","[(93, 35), (1, 25), (7, 11), (11, 35), (59, 43), (38, 51), (16, 11), (92, 85), (90, 3), (80, 27), (82, 70), (86, 21), (74, 45), (12, 11), (97, 11), (34, 1), (79, 63), (83, 49), (19, 80), (63, 98)]",0.4704,0.6349,0.3695,0.4778,0.4853,0.6354,0.6349,0.5403,5
60,"[0.15, 0.25, 0.05, 0.55, 0.55, 0.2, 0.25, 1, 5]","[(95, 44), (51, 83), (18, 95), (6, 98), (32, 12), (86, 60), (55, 57), (39, 43), (99, 21), (33, 68), (94, 38), (96, 52), (3, 3), (99, 78), (97, 42), (96, 10), (39, 57), (6, 57), (23, 33), (89, 73)]",0.508,0.6876,0.5231,0.521,0.5136,0.6905,0.6876,0.59,5
61,"[0.15, 0.25, 0.15, 0.45, 0.55, 0.1, 0.35, 1, 5]","[(43, 24), (85, 93), (47, 61), (75, 58), (18, 66), (42, 77), (68, 3), (82, 72), (99, 47), (29, 8), (70, 31), (20, 2), (67, 57), (99, 8), (94, 84), (77, 60), (17, 74), (99, 18), (65, 71), (67, 38)]",0.3976,0.4879,0.3953,0.495,0.4199,0.4952,0.4879,0.4895,5
62,"[0.15, 0.15, 0.15, 0.55, 0.55, 0.2, 0.25, 1, 1]","[(48, 63), (92, 44), (23, 28), (56, 93), (51, 63), (22, 37), (57, 52), (24, 64), (82, 83), (69, 12), (80, 28), (92, 51), (82, 61), (43, 87), (31, 29), (22, 78), (26, 45), (3, 75), (47, 34), (47, 12)]",0.5322,0.5722,0.535,0.4297,0.5338,0.5692,0.5722,0.4845,1
63,"[0.0, 0.15, 0.2, 0.65, 0.4, 0.25, 0.35, 1, 7]","[(20, 34), (93, 31), (41, 78), (32, 16), (31, 62), (98, 38), (13, 36), (20, 91), (17, 66), (59, 46), (34, 17), (38, 51), (49, 99), (69, 57), (18, 20), (32, 18), (8, 29), (51, 37), (95, 24), (49, 56)]",0.4258,0.4674,0.4435,0.434,0.4326,0.4692,0.4674,0.4904,7
64,"[0.05, 0.3, 0.15, 0.5, 0.55, 0.2, 0.25, 1, 3]","[(25, 86), (51, 58), (94, 42), (53, 34), (15, 69), (82, 4), (4, 56), (86, 49), (98, 50), (47, 67), (67, 68), (56, 52), (56, 9), (5, 32), (66, 75), (24, 92), (78, 62), (31, 4), (69, 7), (96, 85)]",0.3929,0.5009,0.3905,0.6008,0.4042,0.5015,0.5009,0.4836,3
